Year,Country,Core_CPI,Inflation,Exports,Foreign_Reserves,GDP,Imports,Industrial_Production,Exchange_Rate,Retail_Sales,Stock_Market,Total_Reserves,Unemployment,Trade_Balance,Trade_Openness,Reserve_Adequacy,Stock_to_GDP,GDP_Growth,Export_Growth,Import_Growth,Stock_Growth,Exchange_Rate_Change,Inflation_Lag,GDP_Growth_Lag,Unemployment_Lag,GDP_Growth_Rolling_3Y,Inflation_Rolling_3Y,Recession,Anomaly,Anomaly_Label
1999,Advanced Economies,101.8832,1.737984,5409369.0,0.290025,35985399.0,6105051.0,8500000000000.0,7.546392,60.1363,93.097505,1261871.0,6.379832,-695682.0,-0.0193323408752533,0.0350661944862692,2.5870910865820885e-06,3.343484345251113,5.20328871558251,7.892142690010528,0.0,0.0,1.90917,2.56551345570859,6.683189,1.9696659336532345,1.9200696666666663,0,1,Normal
2000,Advanced Economies,101.8832,2.701247,6064090.0,0.28005,37467104.0,6773346.0,8920000000000.0,7.546392,59.98409,93.097505,1366128.0,5.945781,-709256.0,-0.0189300993212605,0.0364620654961749,2.4847798484772134e-06,4.117517218580802,12.1034634538705,10.94659160095468,0.0,0.0,1.737984,3.343484345251113,6.379832,3.342171673180168,2.116133666666667,0,1,Normal
2001,Advanced Economies,101.8832,2.665014,6062661.0,0.301574,38025964.0,6772880.0,8730000000000.0,7.546392,59.48592,93.097505,1410951.0,6.083438,-710219.0,-0.0186772122331994,0.0371049370372306,2.448261535197372e-06,1.4916018062137937,-0.0235649536863724,-0.0068799083938753,0.0,0.0,2.701247,4.117517218580802,5.945781,2.984201123348569,2.3680816666666664,0,1,Normal
2002,Advanced Economies,101.8832,2.068841,6353687.0,0.338647,38590851.0,7152648.0,8750000000000.0,7.546392,63.78122,93.097505,1628806.0,6.633609,-798961.0,-0.0207033786324121,0.0422070505778688,2.412424255686924e-06,1.485529729108248,4.800301385810624,5.607186307745016,0.0,0.0,2.665014,1.4916018062137937,6.083438,2.3648829179676145,2.4783673333333334,0,1,Normal
2003,Advanced Economies,101.8832,2.054477,6639058.0,0.356308,39328920.0,7449024.0,8890000000000.0,7.546392,74.35941,93.097505,1980805.0,6.816206,-809966.0,-0.0205946667236222,0.0503651002875237,2.3671513227416364e-06,1.9125491687135956,4.491423641107906,4.143584306119919,0.0,0.0,2.068841,1.485529729108248,6.633609,1.6298935680118791,2.2627773333333336,0,1,Normal
2004,Advanced Economies,101.8832,2.12426,7219556.0,0.344219,40516823.0,8049181.0,9160000000000.0,7.546392,83.49292,93.097505,2284114.0,6.569727,-829625.0,-0.0204760624987798,0.056374459567079,2.2977493817814886e-06,3.0204312755092166,8.743680202823946,8.056854159685889,0.0,0.0,2.054477,1.9125491687135956,6.816206,2.1395033911103534,2.082526,0,1,Normal
2005,Advanced Economies,101.8832,2.29027,7562320.0,0.303207,41641876.0,8454541.0,9370000000000.0,7.546392,88.13634,93.097505,2246925.0,6.22899,-892221.0,-0.0214260519867068,0.0539583038958187,2.2356702901665623e-06,2.776755225847793,4.747715787508255,5.036040312672796,0.0,0.0,2.12426,3.0204312755092166,6.569727,2.569911890023535,2.1563356666666667,0,1,Normal
2006,Advanced Economies,101.8832,2.402492,8180593.0,0.286595,42883738.0,9056577.0,9710000000000.0,7.546392,93.56353,93.097505,2416224.0,5.774818,-875984.0,-0.0204269506543482,0.0563435957938181,2.1709279400970128e-06,2.9822431631082225,8.17570533910228,7.120859665829293,0.0,0.0,2.29027,2.776755225847793,6.22899,2.9264765548217446,2.2723406666666666,0,1,Normal
2007,Advanced Economies,101.8832,2.341529,8651611.0,0.275381,44025862.0,9361320.0,9990000000000.0,7.546392,105.1334,93.097505,2604470.0,5.515876,-709709.0,-0.0161202749420329,0.0591577287004624,2.114609476584468e-06,2.6633032782729997,5.757748857570588,3.364880572428186,0.0,0.0,2.402492,2.9822431631082225,5.774818,2.807433889076338,2.3447636666666667,0,1,Normal
2008,Advanced Economies,101.8832,4.073851,8822724.0,0.251073,44133064.0,9296806.0,9740000000000.0,7.546392,111.1505,93.097505,2658475.0,5.915271,-474082.0,-0.010742104830972,0.0602377165564575,2.109472956602333e-06,0.2434977877321387,1.977816617043926,-0.6891549482337944,0.0,0.0,2.341529,2.6633032782729997,5.515876,1.963014743037787,2.939290666666667,0,1,Normal
